timestamp,cpu,memory,disk_read,disk_write,event
1764966204.1720507,39.7,77.0,1409783156736,718298808320,
1764966205.1731555,30.2,75.2,1409783156736,718304681984,
1764966206.1746492,43.6,77.2,1409783156736,718304681984,
1764966207.1757686,69.1,79.2,1409783336960,718304985088,
1764966208.177037,38.7,78.5,1409783361536,718304985088,
1764966209.1779993,35.6,78.7,1409783361536,718304985088,
1764966210.1792061,53.3,82.7,1409784074240,718304985088,
1764966211.180312,46.4,77.1,1409784418304,718304985088,
1764966212.1813223,31.4,75.8,1409784418304,718305566720,
1764966213.1823752,38.6,77.4,1409784418304,718306066432,
1764966214.183632,66.4,79.4,1409784426496,718306066432,
1764966215.1848238,39.0,79.2,1409784426496,718306066432,
1764966216.185838,35.6,80.4,1409784827904,718306066432,
1764966217.1869793,48.2,83.8,1409785524224,718306066432,
1764966218.1879923,31.3,78.1,1409785860096,718306443264,
1764966219.1892307,33.1,74.3,1409785860096,718306443264,
1764966220.1907513,41.7,76.6,1409785860096,718306443264,
1764966221.1922045,67.0,78.3,1409785860096,718313422848,
1764966222.193551,41.1,78.2,1409795035136,718313422848,
1764966223.1944911,34.6,79.4,1409795059712,718314135552,
1764966224.1955838,51.0,83.3,1409795756032,718314135552,
1764966225.196505,36.1,77.9,1409796100096,718314135552,
1764966226.1976473,31.1,75.5,1409796100096,718314135552,
1764966227.1988668,43.7,78.0,1409796100096,718314135552,
1764966228.199645,62.9,79.3,1409796100096,718314758144,
1764966229.2006474,39.2,79.0,1409796100096,718314758144,
1764966230.2016249,34.7,81.2,1409796755456,718314758144,
1764966231.2025692,55.4,83.1,1409796788224,718314758144,
1764966232.2035253,28.7,77.6,1409797115904,718314758144,
1764966233.2045505,30.2,75.4,1409797115904,718315274240,
1764966234.2057908,47.4,77.5,1409797115904,718315274240,
1764966235.2068455,60.6,77.5,1409797115904,718315274240,
1764966236.2078128,34.9,78.1,1409797115904,718320656384,
1764966237.2087135,34.4,79.4,1409797115904,718320656384,
1764966238.2098067,59.1,82.9,1409797754880,718321254400,
1764966239.2107801,31.5,77.1,1409798066176,718321254400,
1764966240.2117474,30.5,75.3,1409798066176,718321254400,
1764966241.2129924,46.0,77.7,1409798066176,718321278976,
1764966242.214057,59.1,78.5,1409798066176,718321278976,
1764966243.2150548,35.3,79.2,1409798082560,718321852416,
1764966244.2160108,38.5,80.1,1409798852608,718321852416,
1764966245.217276,59.6,84.0,1409799720960,718321852416,
1764966246.218154,27.8,78.1,1409800024064,718328520704,
1764966247.2191665,29.4,75.8,1409800073216,718328520704,
1764966248.2204275,50.0,77.7,1409800073216,718329339904,
